詞彙（繁）,词汇（简）,漢語拼音,英語,定義,Definitions
欄間距,栏间距,lán jiānjù,column gap,欄與欄之間的間距。,Amount of space between columns on a page.
連接號,连接号,liánjiēhào,dash,見標點符號附錄。,
羅馬拼音,罗马拼音,luómǎ pīnyīn,Romanization,將漢字依語言將其發音轉寫為拉丁字母的方式。,The conversion system of writing from Chinese pronunciation into Roman/Latin script.
冒號,冒号,màohào,colon,見標點符號附錄。,
密排,密排,mìpái,Solid setting,將文字依其外框緊密排列的排版方式。,To arrange characters with no inter-character space between adjacent character frames.
末端,末端,mòduān,end point,文本或文字靠近該行行尾的一端。通常，文字直排時末端在下，橫排在右。,"The ending point of a line, meaning the bottom side in vertical writing mode, or the right side in horizontal writing mode."
破折號,破折号,pòzhéhào,long dash,見標點符號附錄。,
輕聲,轻声,qīngshēng,neutral tone,現代標準漢語的特殊變調現象，無固定調値。,"A kind of special tone phenomenon in modern standard Chinese, with no fixed tone."
齊頭尾對齊,齐头尾对齐,qítóuwěi duìqí,justified alignment,一種段落每行的行頭行尾分別對齊的排版方式。,The alignment method to align on both the left and right ends of each line of one paragraph text.
全形／全角,全形/全角,quánxíng/quánjiao,fullwidth,排字的一種相對度量單位，宽度等于所使用的字號，用做排版宽度水平方向的度量。,
入聲,入声,rùshēng,checked tone,漢語及漢語方言的音節結構，屬四聲之一，其調值之調型短而急促。,"One of four tones in Historical Chinese phonology, which has short and brief pitch."
刪節號,省略号,shānjiéhào/shěnglüèhào,ellipsis,見標點符號附錄。,
聲調,声调,shēngdiào,tone,音節的高低升降變化。漢語傳統音韻學里分為平、上、去、入等四聲。,"The pitch contours in language to distinguish lexical or grammatical meaning in one syllable. There are 4 tones, e.g. Ping (level), Shang (rising), Qu (departing), Ru (entering) in Historical Chinese phonology."
聲母,声母,shēngmǔ,initial,漢語字音音節開頭的輔音。,The initial consonants of Chinese syllable.
始端,始端,shǐduān,starting point,文本或文字靠近該行行首的一端。通常，文字直排時末端在上，橫排在左。,"The text or character that is near the beginning of the line. Normally, when the text is in vertical writing mode, the starting point is on the top; in horizontal writing mode, the starting point is on the left."
書名號,书名号,shūmínghào,title mark,見標點符號附錄。,
疏排,疏排,shūpái,Fixed inter-character spacing setting,於各字之間加入均匀空白的排版方式。,A text setting with a uniform inter-character spacing.
天／天頭,天／天头,tiān/tiāntóu,head/top margin,"版心上沿至成品幅面上沿之间的空白区域 (GB/T 9851.2-2008, 3.4)",The top margin between the top edge of a trimmed page and the type area.
彎引號,弯引号,wān-yǐnhào,curve quotation mark,見標點符號附錄。,
問號,问号,wènhào,question mark,見標點符號附錄。,
文字設計／字體排印,文字设计/字体排印,wénzìshèjì/zìtǐpáiyìn,typography,對文字進行合適地排版讓書面語言易認、易讀、有吸引力地展現出來的一種工藝。,"The art and technique of arranging type to make written language legible, readable, and appealing when displayed."
西文,西文,Xīwén,Western scripts,歐洲、美洲和大洋洲通行的文字。,Writing systems derived from Greek and Latin.
以連字符斷行,以连字符断行,yǐ liánzìfú duànháng,hyphenation,在西文詞組音節間插入連字符來斷行的方式。,Use of the hyphen to join words and to separate syllables of a single word.
引號,引号,yǐnhào,quotation,見標點符號附錄。,
韻母,韵母,yùnmŭ,final,漢語字音中一個音節中除聲母、聲調外的部分。,The part in a Chinese syllable without initial and tone.
製表定位字元,制表定位字元,zhìbiǎodìngwèizìyuán,tab,提供按列對齊文本功能的字元。,Characters with the feature of tabulation.
直角引號,直角引号,zhíjiǎo yǐnhào,corner quotation mark,見標點符號附錄。,
直排／豎排,直排/竖排,zhípái (shùpái),vertical writing mode,行内每字按垂直方向由上至下，页内每行从右至左、每栏由上至下的排列方法，或者按此方法的排列状态。,"The process or the result of arranging characters on a line from top to bottom, of lines on a page from right to left, and/or of columns on a page from top to bottom."
中外文對照,中外文对照,Zhōng-wàiwén duìzhào,bilingual annotations,以注文或基文的形式為漢語詞組提示原文或譯文，係行間注排版的一種實作方式。,"To prompt a Chinese term with its original or translation in the form of annotation text or base text, an instance of interlinear annotation."
中、西文混排處理,中、西文混排处理,Zhōng-Xīwén hùnpái chǔlǐ,Chinese and Western mixed text composition,在中文文本中，包含部分西文時的處理方式。,The process of interleaving Chinese text with Western text.
專名號,专名号,zhuānmínghào,proper name mark,見標點符號附錄。,
著重號,着重号,zhuózhònghào,emphasis dot,見標點符號附錄。,
